"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","5","0","","0"
"0","","0","Calc operations","1","0","","0"
"0","","0","delleting from DB","1","0","","0"
"0","","0","rec in DB","1","0","","0"
"0","","0","BD changes","1","0","","0"
"0","","0","DB connection","1","0","","0"
